id,utterance,label
344,"Þessi maður sem lengi hefur  látið lítið fyrir sér fara veður nú fram með miklu offorsi gegn seðlabankastjóranum.
Þessi maður sem lengi hefur  látið lítið fyrir sér fara veður nú fram með miklu offorsi gegn seðlabankastjóranum.
Sá tími sem þessi maður lætur lítið fyrir sér fara er aldrei OF langur. Megi hann lengjast mjög.",'Særandi'
226,Í alvöru ? Það er nú ekki mikið varið á þá Rauðhettu....æj svona grímulaus ritskoðun,'Særandi'
391,"
Athyglisverðar fréttir hér ýmsar frá Halldóri Agli, og auðvitað er hásumar núna á suðurhveli jarðar.
En hvað á að gera við þessu aumingjaliði sem vinnur að því nánast í atvinnuskyni að sitja um fjölmiðla til að ljúga í þá rangtúlkuðum tölum á sama tíma og sjómenn vinna sína ærlegu vinnu að björgun verðmæta?
Með góðri samstöðukveðju til ykkar beggja,",'Særandi'
33,"
Ertu að gefa í skyn, Jóhannes, að fáir aðrir koma til greina sem oddviti Sjálfstæðisflokksins en ritstjóri vor í Hádegismóum? Að Reykjavík verði enn á ný Borg Davíðs? Að glataði sonurinn komi nú loksins heim aftur eftir miklar svaðilfarir og taki við stjórn þessarar borgar, sem hefur verið forarpyttur spillingar og skipulagsleysis allar götur síðan 1991?",'Særandi'
374,"Sæl öll
Alla þá sem þurfti að færa með valdi eiga að fá á sig kjærur annað er forheimska.",'Særandi'
217,"
Það er nú frekar einkennilegt þetta jafnrétti að jafnréttisnefndir geti verið skipað eingöngu af öðru kyninu.
Stjórnmálasaga Dana er á þá leið að minnihluta stjórnir eru viðmiðið frekar en hitt. síðan eru miklar líkur á því að öfgaflokkur þjóðernissinna muni vinna á og verð í lykilstöðu hvað varðar stjórnarmyndunarviðræður.
Annars hvað er að frétta af Svandísi og hennar nýja besta vini honum Birni Inga?",'Ekki særandi'
334,Mun hlýða þessu kalli Ólína,'Ekki særandi'
100,"sth: Algjörlega rangt.  Efi í vísindum er dyggð og þróunarkenningin er ekkert fullkomin frekar en aðrar vísindakenningar.  Ef við vildum ekki og myndum ekki efast um ágæti hennar þá væru engar rannsóknir í gangi.
sth: Algjörlega rangt.  Efi í vísindum er dyggð og þróunarkenningin er ekkert fullkomin frekar en aðrar vísindakenningar.  Ef við vildum ekki og myndum ekki efast um ágæti hennar þá væru engar rannsóknir í gangi.
En þú hlýtur að trúa eða treysta einhverjum forsendum varðandi þróunarkenninguna, annars værir þú ekki að halda henni fram. Hversu mikinn hluta þróunarkenningarinnar ertu að efast um? Og hversu mikill er trú?   Rannsóknir eru að mínu mati hljóta að vera grundvallaðar á einhverju, sem tekið er gefnu,  annars væru engar rannsóknir, því ekki væri hægt að treysta neinu. Það væri fullkominn efi og gengi ekki upp.",'Ekki særandi'
203,"Ég hef mikið álit á þér sem stjórnmálamanni og þar með fellur þú í mjög fámennan en fríðan flokk stjórnmálamanna í mínum huga. Þess vegna er ég ekki mjög sáttur við þig um þessar mundir. Að mínu viti er samfylkingin ekki réttur vettvangur fyrir þig og óttast að áhrif þín þar verði ekki eftir vonum, viljinn til breytinga er ekki til staðar í flokknum, það sýnir afstaða Ingibjargar til áframhaldandi setu. Þínir kraftar hefðu betur nýst í nýju framboði með fleira goðu fólki sem trúandi er til að vilja og geta breytt einhverju",'Ekki særandi'
158,"
Ég skil ekki af hverju að þjóð úr hitabeltinu, eins og Íslendingar, séu að keppa á Ólympíuleikunum. Ég vissi ekki einu sinni, fyrr en nú, að leikarnir væru í gangi, - nei, annars ég sá frétt um daginn að það væri allt að bráðna í Vancouver. Þá ætti okkar mönnum að ganga vel.",'Ekki særandi'
